,flow,speed,time
0,53.0,83.0,2021-01-30 00:15:00
1,53.0,82.0,2021-01-30 00:30:00
2,54.0,82.0,2021-01-30 00:45:00
3,50.0,79.0,2021-01-30 01:00:00
4,48.0,75.0,2021-01-30 01:15:00
5,43.0,79.0,2021-01-30 01:30:00
6,33.0,78.0,2021-01-30 01:45:00
7,26.0,78.0,2021-01-30 02:00:00
8,33.0,79.0,2021-01-30 02:15:00
9,16.0,82.0,2021-01-30 02:30:00
10,28.0,80.0,2021-01-30 02:45:00
11,22.0,79.0,2021-01-30 03:00:00
12,24.0,80.0,2021-01-30 03:15:00
13,36.0,80.0,2021-01-30 03:30:00
14,40.0,82.0,2021-01-30 03:45:00
15,31.0,82.0,2021-01-30 04:00:00
16,31.0,82.0,2021-01-30 04:15:00
17,26.0,81.0,2021-01-30 04:30:00
18,23.0,82.0,2021-01-30 04:45:00
19,32.0,79.0,2021-01-30 05:00:00
20,39.0,81.0,2021-01-30 05:15:00
21,37.0,80.0,2021-01-30 05:30:00
22,46.0,64.0,2021-01-30 05:45:00
23,58.0,61.0,2021-01-30 06:00:00
24,54.0,62.0,2021-01-30 06:15:00
25,56.0,61.0,2021-01-30 06:30:00
26,57.0,58.0,2021-01-30 06:45:00
27,65.0,62.0,2021-01-30 07:00:00
28,59.0,60.0,2021-01-30 07:15:00
29,75.0,65.0,2021-01-30 07:30:00
30,85.0,69.0,2021-01-30 07:45:00
31,75.0,71.0,2021-01-30 08:00:00
32,66.0,67.0,2021-01-30 08:15:00
33,94.0,70.0,2021-01-30 08:30:00
34,95.0,69.0,2021-01-30 08:45:00
35,113.0,72.0,2021-01-30 09:00:00
36,116.0,75.0,2021-01-30 09:15:00
37,128.0,74.0,2021-01-30 09:30:00
38,116.0,71.0,2021-01-30 09:45:00
39,127.0,77.0,2021-01-30 10:00:00
40,104.0,74.0,2021-01-30 10:15:00
41,119.0,74.0,2021-01-30 10:30:00
42,109.0,75.0,2021-01-30 10:45:00
43,129.0,76.0,2021-01-30 11:00:00
44,119.0,75.0,2021-01-30 11:15:00
45,111.0,73.0,2021-01-30 11:30:00
46,164.0,76.0,2021-01-30 11:45:00
47,133.0,76.0,2021-01-30 12:00:00
48,138.0,77.0,2021-01-30 12:15:00
49,159.0,76.0,2021-01-30 12:30:00
50,123.0,75.0,2021-01-30 12:45:00
51,151.0,78.0,2021-01-30 13:00:00
52,137.0,78.0,2021-01-30 13:15:00
53,130.0,77.0,2021-01-30 13:30:00
54,139.0,77.0,2021-01-30 13:45:00
55,148.0,80.0,2021-01-30 14:00:00
56,125.0,78.0,2021-01-30 14:15:00
57,108.0,77.0,2021-01-30 14:30:00
58,108.0,80.0,2021-01-30 14:45:00
59,120.0,85.0,2021-01-30 15:00:00
60,129.0,83.0,2021-01-30 15:15:00
61,124.0,83.0,2021-01-30 15:30:00
62,138.0,83.0,2021-01-30 15:45:00
63,109.0,81.0,2021-01-30 16:00:00
64,101.0,81.0,2021-01-30 16:15:00
65,109.0,84.0,2021-01-30 16:30:00
66,124.0,81.0,2021-01-30 16:45:00
67,92.0,79.0,2021-01-30 17:00:00
68,94.0,80.0,2021-01-30 17:15:00
69,91.0,80.0,2021-01-30 17:30:00
70,86.0,79.0,2021-01-30 17:45:00
71,97.0,82.0,2021-01-30 18:00:00
72,92.0,81.0,2021-01-30 18:15:00
73,73.0,82.0,2021-01-30 18:30:00
74,69.0,80.0,2021-01-30 18:45:00
75,98.0,80.0,2021-01-30 19:00:00
76,88.0,79.0,2021-01-30 19:15:00
